material,loss_c0,loss_c1,loss_c2,loss_c3,energy_dispersion_c0,energy_dispersion_c1,energy_dispersion_c2,energy_dispersion_c3,energy_dispersion_c4,energy_dispersion_c5
beryllium,0.32801280675652433,0.0035209633807892567,-1.486702136153361e-05,5.1258856046322005e-08,0.16272089052370112,-0.004389809538085159,5.219675850249064e-05,-3.209168136106798e-07,9.941863830282185e-10,-1.2299149199525958e-12
aluminum,0.47760168820960647,0.0023888979228076698,-9.353664885205974e-06,3.640596197446991e-08,0.17012873404522544,-0.004565674080030671,5.4054628738808604e-05,-3.3105293564329203e-07,1.0218808841392298e-09,-1.2600177492827282e-12
graphite,0.40647142824285293,0.0030646400991955797,-1.228710900575784e-05,4.217441437120654e-08,0.165214511294662,-0.004452450284355324,5.2868294225072084e-05,-3.2463054510942303e-07,1.004647165712951e-09,-1.2418715721868958e-12
lead,0.6842187922549786,0.0006677328044956366,1.0118722580447235e-06,7.443099920091459e-09,0.2138285455921971,-0.005797983755655411,6.88981031409893e-05,-4.229856510096982e-07,1.309473327763305e-09,-1.6202739821249895e-12
water,0.4613548796761843,0.0027534166537340403,-1.0121199737969969e-05,3.3635746256548554e-08,0.15106554832857272,-0.003989067685889164,4.679869360999864e-05,-2.8529078132128003e-07,8.791651026455486e-10,-1.0845913170528795e-12
lexan,0.4317165156486032,0.00294368264987745,-1.1383732505136944e-05,3.821991913383998e-08,0.16480072491306988,-0.0044495878008478556,5.291248735938039e-05,-3.252866056616052e-07,1.0076892137500347e-09,-1.246725455013949e-12
tantalum,0.6808607793889052,0.0006849189801439529,6.030896777314844e-07,9.193362001096e-09,0.2259040326754227,-0.006208174352169656,7.432943228620432e-05,-4.581622614414916e-07,1.421025628731977e-09,-1.7589610908448032e-12
titanium,0.5694348219262656,0.001509781732544634,-5.251054701865364e-06,2.7784931626853745e-08,0.17134496393345944,-0.0045735836531323555,5.4035058148993304e-05,-3.3094764074351996e-07,1.0231462166971392e-09,-1.264985154775993e-12
diamond,0.41328664553795796,0.0030135636718455587,-1.2460114454799863e-05,4.381999249374048e-08,0.1435972784253815,-0.003733342079838555,4.3395436831453856e-05,-2.6292851562420886e-07,8.065976785213711e-10,-9.91802976055311e-13
boroncarbide,0.3835080965089124,0.003079425079515457,-1.2459596714978011e-05,4.4738623253853673e-08,0.129933640401259,-0.0033045516290526687,3.793051542453528e-05,-2.282145242984455e-07,6.974261705304357e-10,-8.561806282351826e-13
lithium, 0.2616993320419722,0.004717223929732256,-2.167246166784425e-05,6.368819026341659e-08,0.2406051717191865,-0.00697459188842855,8.640709384899513e-05,-5.443105574484849e-07,1.7111014823132052e-09,-2.1335255525952727e-12
